Year,President,Vice.President.,Secretary,Treasurer,Other.members.of.council
1964,Prof E.J. Williams,,Miss Alison Doig,J.A. Curtain,"J.R. Bainbridge, Dr C.G. Barraclough, B. Brogan, B.D. Craven, Dr A.M.W. Verhagen, Dr G.A. Watterson"
1965,J.R. Bainbridge,Prof E.J. Williams,Miss A. Doig,Mrs J. Kearney,"D. Adams, B. Brogan, B. Craven, Dr C. Pratt, Dr A. Verhagen"
1966,Dr A. Verhagen,J.R. Bainbridge,Miss A. Doig,Mrs J. Kearney,"B. Brogan, Dr S. Hammond, Dr A. Powell, Dr C. Pratt, Prof E. Williams"
1967,Dr A. Verhagen,J.R. Bainbridge,Miss A. Doig,G.W. Rogerson,"W. Bartlett, B. Brogan, Dr J.K. Mackenzie, Dr A. Powell"
1968,Dr C.W. Pratt,Dr A. Verhagen,W.K. Bartlett,Dr J.K. Mackenzie,"B.D. Brogan, R.M. Clark, E.D. Craven/R.H. Chamberlain, Prof W.J. Ewens, C.S. Soper"
1969,Dr C.W. Pratt,Dr A. Verhagen,Prof W. Ewens,Dr J.K. Mackenzie,"R.M. Clark, Dr R. Langley, P. Maclellan, G.W. Redding, C.S. Soper"
1970,Dr R. Langley,Dr C.W. Pratt,Dr G.F. Yeo,Dr J.K. Mackenzie,"G. Alexander, T. Andrews, R.M. Clark/ Dr N. Singh, P. Maclellan, G.W. Redding"
1971,Dr J.K. Mackenzie,Dr R. Langley,Dr G.F. Yeo,N.G. Becker,"T. Andrews, B. Laby, C. Pratt, G. Redding, J. Snow, E. Heathcote"
1972,Dr J.K. Mackenzie,Dr R. Langley,Dr G.F. Yeo,N.G. Becker,"E. Gilham, B. Laby, J.S. Maritz, J.P. Matthews, A. Pakes, C.W. Pratt"
1973,Prof J.S. Maritz,Dr J.K. Mackenzie,Dr A.G. Pakes,Dr P.F. Preston,"Miss J. Boughton, Dr R. Langley, Dr J. Matthews, J.W. Snow, R. Watson, Prof E. Williams"
